类别	新闻标题	新闻内容
汽车	新辉腾　４．２　Ｖ８　４座加长Ｉｎｄｉｖｉｄｕａｌ版２０１１款　最新报价	经销商　电话　试驾／订车Ｕ憬杭州滨江区江陵路１７８０号４００８－１１２２３３转５８６４＃保常叮００万９阒菔邪自魄白云大道北１３６１号；广州市天河区黄埔大道西１００号富力盈泰大厦１０５室４００８－１１２２３３转９９１５＃保常福００万Ｉ蕉省淄博市张店区山泉路８９号４００８－１１２２３３转５１５６＃保常叮００万４罅保税区黄海西三路１０１号４００８－１１２２３３转２６０３＃保玻埃００万Ｌ粕绞新纺锨复兴路２１号４００８－１１２２３３转３０４３＃保常叮００万Ｖ泄云南昆明市度假区滇池路１２６８号４００８－１１２２３３转７３１２＃保常叮００万Ｒ川市兴庆区丽景北街８００号４００８－１１２２３３转３２６９＃保常叮００万９尔滨市道外区先锋路４６９号４００８－１１２２３３转２０２９＃保矗福００万３ど呈刑煨那桂花坪街道雀园路口／星沙中南汽车世界Ａ区０５号４００８－１１２２３３转７６６６＃保常梗００万Ｎ浜菏信塘城经济开发区盘龙汽车城＃矗埃埃福１１２２３３转７５２４＃保常叮００万９阒莘禺区市广路９８９号（祈福食街旁）＃矗埃埃福１１２２３３转９９６３＃保常叮００万Ｆ侄新区御桥路１３７７号４００８－１１２２３３转６３３７＃保常福００万０不帐『戏适邪河工业区纬一路２２号１３８．００万Ｉ虾Ｊ斜ι角江杨南路１３８１号４００８－１１２２３３转６７２２＃保常叮００万ｔ奚蕉路１９８号４００８－１１２２３３转５９３３＃保常叮００万１本┦谐阳区北四环望京街６８号４００８－１１２２３３转８６１５＃保玻福００万１本┦胁平区立汤路亚北博晟汽车汇展中心＃保埃福８６万＝西省南昌市青山湖区科技大道５９９号１３６．００万Ｉ苄耸信劢工业区康宁路车管所对面＃保常叮００万Ｄ暇┦薪宁区天元中路１１１号４００８－１１２２３３转５５０１＃保常叮００万３ご菏形餍戮济技术开发区长沈路４２２２号１３６．００万Ｊ家庄市北二环东路８６号河北国际汽车贸易园区＃矗埃埃福１１２２３３转３１７８＃保矗福００万８壅⑶城港路９９号广达车城永兴路３号１３６．００万Ｉ蜓羰刑西区北二中路１１号４００８－１１２２３３转２４９８＃保常叮００万３啥际星嘌虼蟮溃保福负牛ㄐ挛幕宫对面）＃保矗常８０万Ａ赡省沈阳市皇姑区鸭绿江街３２号甲（长客总站北行１５００米）＃保矗福００万Ｉ钲谑新藓区罗芳立交六星汽车园进口大众４Ｓ店４００８－１１２２３３转９８６６＃保担埃００万３ご憾环城路１００５６号１３６．００万
汽车	９１８　Ｓｐｙｄｅｒ概念车	呼叫热线　４００８－１００－３００　服务邮箱　ｋｆ＠ｐｅｏｐｌｅｄａｉｌｙ．ｃｏｍ．ｃｎ
汽车	日内瓦亮相　ＭＩＮＩ性能版／概念车－１．６Ｔ引擎	ＭＩＮＩ品牌在二月曾经公布了最新的ＭＩＮＩ新概念车Ｃｌｕｂｖａｎ效果图，不过现在在日内瓦车展上，ＭＩＮＩ品牌带来了全新的ＣＯＵＮＴＲＹＭＡＮ　ＪＣＷ版和Ｃｌｕｂｖａｎ概念车以及更多ＪＣＷ性能版车型亮相。＃停桑危伞。茫希眨危裕遥伲停粒巍。剩茫装嬖谕夤凵媳浠非常明显，其加装了空气动力学套件外观，并且针对个性的性能版车型采用了非常吸引眼球的黑色车身配红色车顶以及红色拉花的搭配。新款车型在性能上也做了改进，采用１８英寸合金轮毂，高性能刹车套件以及运动化悬挂组件，配合运动版尾排以及车侧的ＪＣＷ徽标彰显着这是一款体现性能的车型。＃停桑危伞。茫希眨危裕遥伲停粒巍。剩茫装嬖诙力上搭载的是一款１６０千瓦的１．６升涡轮增压引擎，最大扭矩３００牛米，同时还配有全轮驱动系统，百公里加速仅需７．０秒，极速被限制在２２５ｋｍ／ｈ或２２３ｋｍ／ｈ（选装６速自动变速箱）。．．．全文　＞　（来源：网上车市）
汽车	清仓大甩卖一汽夏利Ｎ５威志Ｖ２低至３．３９万	清仓大甩卖！一汽夏利Ｎ５、威志Ｖ２低至３．３９万＝日，启新中国一汽强势推出一汽夏利Ｎ５、威志Ｖ２＂清仓大甩卖＂活动，冲击一汽家用精品轿车上市以来史无前例的＂谷底价＂销售。其中，一汽Ｎ５低至３．３９万，威志Ｖ２低至３．８９万，更有全新触底冰点价新威姿、一汽Ａ＋及威志的独家包销＂珍藏版＂车型限量抢购！更多清仓底价促销优惠欢迎到店详细咨询。Ｗ魑一款经典的国民家用精品轿车，一汽Ｎ５配备的安全气囊、ＡＢＳ＋ＥＢＤ、前后雾灯、ＥＰＳ电子助力转向系统、四门电动窗、铝合金轮毂等，显著提升了行车安全及档次，让您切身体验欧式风格座驾带来的惬意与舒适。Ｒ黄Ｎ５搭载的中国一汽集团自主研发的、具有国际先进水平和领先技术的新一代高性能ＣＡ４ＧＡ１发动机，应用ＶＣＴ－ｉ技术、８ｍｍ曲轴偏置、电子节气门、静音齿形链传动等多重世界领先技术及构件，使得整车具备高动力、低燃油消耗等特性，达到最佳驾驭状态。并且拥有同级车中最宽１２０ＭＭ的Ｂ柱及最小转弯半径４．７５Ｍ。Ｏ秩缃瘢最低仅售３．３９万的一汽Ｎ５创造了Ｎ５销售以来最低的促销神话。选择此刻下手将成为Ｎ５新车主独一无二的明智之选！Ｍ志Ｖ２是一款源自丰田ＮＢＣ平台的精品时尚小车，搭载由中国一汽自主研发的ＣＡ４ＧＡ１发动机，综合运用静音正时链条、轻量化设计、８ｍｍ曲轴偏置设计、ＶＣＴ－ｉ正时系统、ＤＥＮＳＯ３２位电控喷油系统、无回油燃油系统等六大先进技术；同时配备了博世８．０版本的ＡＢＳ＋ＥＢＤ，高强度车身设计，加上国内外知名专家精心调校的全新加强型底盘，高刚性Ｈ型副车架，以及比肩中级车使用的四轮独立悬挂系统，都为其安全性能提供了强大的后盾。让威志Ｖ２在拥有良好操控性的同时，显著提升了驾乘的安全性。Ｈ缃瘢在启新最低仅售３万余元的一汽威志Ｖ２再次创造了家用精品轿车＂性价比之王＂的传奇。与同级别小车相比，威志Ｖ２的高性价比、低油耗、时尚动感的外型，再加上高安全性和随心所欲的驾驭感，让其名副其实地担任起＂ＡＯ级小车之王＂的称号！３此之外，最低仅需２万多元的＂性价比之王＂一汽Ａ＋如今也已然成为不少客户的练手车及家用入门级轿车，其节能省油、皮实赖用的特性已得到广大消费者的广泛认可。另外，源于丰田ＮＢＣ平台的全球战略车型ＹＡＲＩＳ－－一汽威姿，这款系出名门的车型自上市之日起便牢牢地吸引了追求时尚个性的用户群体的目光，其产品力更是有口皆碑。如今，通过对新威姿的切身使用体验，让越来越多的消费者开始对天津一汽品牌的长远发展目标有了更多的认知和足够的信赖。９司名称：成都启新汽车服务有限责任公司（中国一汽４Ｓ店）９司地址：成都市高新区科园南一路２号（成雅高速入口往大件路方向前行，下桥后右转即到）Ｎ恼碌己烬Ｍ志Ｖ２详细报价Ｍ志Ｖ２经销商Ｏ睦其他车系
汽车	大众敞篷家族新成员　高尔夫敞篷版实拍	在今年３月的日内瓦车展上，我们见到了高尔夫家族的新成员，高尔夫敞篷版，这款全新敞篷车受到了众多高尔夫车迷的关注，如今，在刚刚开幕的北京车展上，敞篷高尔夫如约而至，同时它将于本月１６号正式上市并且发布价格。与此同时，编辑也在北京经销商那里拍到了它，并对它做了详细的评测，详情请往下看。８叨夫敞篷版车系简史Ｐ「牡耐夤鄄糠铸４舜闻纳愕男乱淮高尔夫敞篷轿版为２门设计，与硬顶高尔夫车型具有相同外观风格及尺寸，但又极具个性，并更富运动性。而如果你第一眼看到它时，你有可能会感觉它很像大众家族敞篷的代言人ＥＯＳ。！荆牛希映ㄅ癜妗魁Ｈ车尺寸长／宽／高分别为４２１５ｍｍ／１７７９ｍｍ／１４２４ｍｍ，相比现款高尔夫，敞篷版要略长一些。而轴距与普通版同为２５７８ｍｍ，乘坐感受肯定也相同。！荆牛希映ㄅ癜妗魁４硬嗝胬纯创笾谌新高尔夫敞篷，相当漂亮，双门的设计，显得十分运动，尾部稍稍翘起，线条一直从尾部延伸到车头由高到低。仿佛做好准备要窜出去一样。！荆牛希映ㄅ癜妗魁４笾谌新高尔夫敞篷的尾部可以说改变不少，尤其尾灯部分，与普通版完全不同。但怎么看怎么与大众ＥＯＳ很是相像。这也许是模块化的生产，家族设计下的产物吧。＜尤耄蹋牛牡那暗疲幔睿溆敫叨夫Ｒ一样的尾灯！荆牛希映ㄅ癜妗魁８叨夫敞篷版的前大灯绝对是一大亮点，不仅造型迷人，而且带有氙气大灯和大灯清洗功能。配合镀铬装饰条及圆形雾灯，视觉效果非常有冲击力。同时此次还加入了ＬＥＤ灯组，可以说达到了画龙点睛的作用。
汽车	悦翔两厢　１．５　ＡＴ　舒适型　２０１０款　最新报价	经销商　电话　试驾／订车８仕嗍√焖市秦城区岷山路２０号６．５９万Ｎ浜菏薪岸区科技馆路特１号６．５９万Ｈ亚市迎宾路丹州村前１００米６．５９万Ｋ拇ㄊ〈镏菔心贤庹虮Ｏ战铸＃叮５９万Ｎ鞑乩萨市罗布林卡路２３号６．５９万Ｅ手花市仁和区大河中路劳动五村＃叮５９万Ｄ诿晒哦醵多斯市东胜区塔拉壕镇汽车城长安轿车４Ｓ店６．５９万Ｄ诿晒哦醵多斯市东胜区塔拉壕镇汽车城长安轿车４Ｓ店６．５９万８仕嗍【迫市肃州区西郊工业园区飞天路６４０号６．５９万Ｕ偶铱谑懈咝虑马路东西街＃叮５９万＝苏省徐州市东三环淮海汽车城内１５８号６．５９万Ｉ挛魇∥靼彩欣投北路附３号６．５９万：北省宜昌市伍家岗区临江坪＃叮５９万Ｋ拇ㄊ〕啥际谐苫区东三环外侧龙潭工业园Ｅ线宝耳路（晨明轿车大世界内）＃叮５９万０霾菏卸海大道市政府西侧湖滨社区一楼＃叮５９万Ｉ轿魇≡顺鞘芯济技术开发区大运路北＃叮５９万Ｇ嗪Ｊ∥髂市城东区八一东路６４号６．５９万Ｄ诿晒藕艉秃铺厥谢孛袂金海路利丰汽车文化广场＃叮５９万Ａ赡省大连市甘井子区华东路１３４号６．５９万Ｔ颇鲜±ッ魇懈咝虑科高小屯国际汽车城长安汽车４Ｓ店６．５９万＝苏省苏州市高新区国际汽车城内汇通路９号６．５９万Ｄ诿晒磐辽市科尔沁区东顺路７５号６．５９万１６ㄊ谐こ悄洗蠼郑保矗福岛牛叮５９万Ｋ拇ㄊ∶忌蕉坡区三苏大道３５８号６．５９万？文区潍州路金宝乐园北１００米路东　（中石化４５加油站对面）＃叮５９万Ｋ拇ㄊ〉卵羰刑┥侥下钒私枪ひ翟扒西段一栋＃叮５９万２字菔锌发区石港路３０号６．５９万Ｒ川德胜工业园区１０９国道东侧＃叮５９万Ｎ诼衬酒胧刑旌推贸有限公司＃叮５９万Ｄ诿晒磐辽市科尔沁区东顺路７５号６．５９万＝苏省常州市常新路１８－２＃叮５９万０不帐〕埠经济开发区金山路亚夏汽车城一街１０６－１１９号门面房＃叮５９万＠ッ魇卸三环虹桥村东侧加油站旁＃叮５９万＝苏省盐城市亭湖区聚亨路２号６．５９万：颖笔『馑市昌明南大街５８１号６．５９万Ａ赡省沈阳市东陵区长青街８９号２２门６．５９万＜林省白城市经济开发区吉鹤广场２号６．５９万１本┦谐阳区小红门乡肖村南四环东路９１号６．５９万：诹江省鸡西市密山市密山镇铁西村（铁西加油站道北）＃叮５９万：诹江省大庆市萨尔图（县）开发区庆新大街＃叮５９万Ｋ拇绵阳市高新区双碑东街４７号６．５９万８仕嗍±贾菔衅呃锖忧西津西路１１９８号６．５９万
汽车	戈蓝　２．４　ＡＴ　旗舰升级版　２０１２款　最新报价	经销商　电话　试驾／订车９愣省东莞市南城区莞太大道白马路段（周溪ＢＰ油站侧）＃矗埃埃福１１２２３３转９７４５＃保梗９８万９阒菔泄阒荽蟮滥匣南汽贸城６０号４００８－１１２２３３转９９８１＃保梗９８万９阒菔邪自拼蟮辣保保常梗购牛南菱汽车城内）＃矗埃埃福１１２２３３转９９１１＃保梗９８万７鹕绞心虾Ｇ海八路南海车城叠北乡政府对面＃矗埃埃福１１２２３３转９４０９＃保梗９８万：贾菔恤奚蕉路１５０号４００８－１１２２３３转５８３８＃玻埃４８万Ｉ蕉省济宁市金宇路洸府河东１００米路北＃矗埃埃福１１２２３３转５３９４＃保梗７８万＝鸹市仙桥汽车城１号１９．９８万
汽车	华泰　宝利格	目前很多自主品牌的崛起都是从模仿世界老牌名车开始，这并不是一件坏事，这是一种让中国汽车业发展的快速捷径。只有先模仿并从模仿中得到技术的提升与创新，我们的民族品牌才会得到更大的发展。本文的写作目的并不是要攻击自主品牌、打压自主品牌、崇洋媚外，请各位读者理解。；泰　宝利格Ｄ７露韵螅罕Ｊ苯荨】ㄑ琮Ｏ嗨浦甘：３商指导价：１３．９７－２２．９１万；泰宝利格是借鉴了老款保时捷卡宴的设计，并融入了其品牌的风格，如果用几个词来形容就是：大气、优雅、时尚。但是这样的设计您能不能接受，那就是＂仁者见仁智者见智了＂但其在路上的回头率还是很高的。宝利格的车身尺寸为：４６１８ｍｍｔ１８５８ｍｍｔ１７５３ｍｍ，轴距为２６２０ｍｍ。虽然在参数上没有什么亮点，但是其视觉效果与后排空间绝对是要超过这些枯燥的数字带给你的感觉。？崴票隼的前格栅华泰汽车将其称之为：Ｕ盾前脸。这个设计无疑是很成功的，提升了整车的质感，同时也让宝利格在众多的自主ＳＵＶ中像绅士一般优雅。采用金属镀铬格栅符合空气动力学，提升了高速行驶时的稳定性，降低了空气阻力。金属材料的格栅对于行人的保护是不如塑料材质的。３瞪聿嗝婵瓷先ナ分动感，银色车顶行李架与银色的车门框装饰板与大尺寸轮毂营造了运动的感觉。与宽大的金属镀铬格栅、动感四溢的车身线条、以及＂双瞳式＂氙气大灯与ＬＥＤ日间行车灯和前雾灯，还有欧式拱顶发动机舱盖的设计，一同营造欧式豪车的感觉。８吲渲贸敌筒捎秒气灯，此次拍摄的为普通卤素灯下部设计有ＬＥＤ日间行车灯与运动保护型雾灯，体现了ＳＵＶ的运动本色。ＬＥＤ日间行车灯是人性化的安全设计，节能环保，有效提高日间高速行驶的安全性，但是宝利格的ＬＥＤ日间行车灯亮度并不高，反而高亮度的雾灯，强占了ＬＥＤ日间行车灯的＂风头＂。
汽车	酷似卡宴　华泰新ＳＵＶ宝利格广州车展上市	华泰在推出自主轿车Ｂ１１后，又一款自主ＳＵＶ宝利格已经确定将在１１月下旬的广州车展上市正式上市，新车将与Ｂ１１一样搭载１．８Ｔ汽油机和２．０Ｔ柴油机，预计售价１０－１５万元之间，最大的亮点就是酷似保时捷卡宴的外观。；泰宝利格凭借酷似保时捷卡宴的外观而颇受关注，这款车整体外形设计厚重敦实，有着ＳＵＶ应有的硬朗和雄浑，其车身采用了大量的镀铬装饰和银色装饰件，凸显年轻和时尚；同时宝利格也继承了华泰家族式脸谱造型，与华泰Ｂ１１相似的前脸采用了倒梯形网状前格栅，新款双氙气大灯不仅提供更加理想的照明效果，也将成为宝利格的独特标识。；泰宝利格２６２０毫米的轴距带来的车内空间宽大而理想，其内饰方面也与卡宴经典车型非常接近，内饰配色采用米色和浅棕色的组合，并配备木纹饰板以提升质感，有着典型的欧系风情，带给消费者极佳的视觉享受。此外，Ｂ３５还配备了大屏幕的液晶屏和自动空调等多种舒适性配置。Ｔ诙力上，华泰宝利格使用的是源于意大利ＶＭ技术的清洁柴油发动机，搭载１．８Ｔ涡轮增压发动机，最大功率１６０马力，最大扭矩２１５Ｎｂｍ，采用全时四轮技术驱动。这一动力配置再次彰显华泰汽车低碳、环保的产品理念，迎合了高端人士对环保低碳的需求。；泰宝利格采用的是前麦弗逊、后多连杆的前后独立悬挂设置，车身也是更强调舒适性能的承载式车身，定位上将更加偏向都市ＳＵＶ。就定位而言，未来宝利格将作为华泰ＳＵＶ系列中的高端产品，与圣达菲一样主攻城市ＳＵＶ领域。．．．全文　＞　（来源：网上车市）
汽车	最受欢迎ＴＯＰ１０车型出炉　帝豪ＥＣ７脱颖而出	爱美之心人皆有之，汽车的外观炫感度所形成的冲击力，往往会给第一眼与之接触的消费者留下挥之不去的深刻印象。当前，随着中国汽车市场发展的日趋成熟，消费者对汽车外型的要求也变得越来越挑剔和苛刻，经媒体广泛调查发现，＂车型外观＂已经成为购车者的首选考虑因素之一。Ｄ敲矗究竟哪些品牌的车型外观更酷、更赞、更大气，同时也更加受到大众　的认同和青睐呢？为了解答这个疑问，汽车点评网联合《汽车杂志》、《轰》杂志以及互联网消费者调研中心在近期举办了＂全球最受欢迎外观车型大评选＂活动。Ｆ车也选美，帝豪ＥＣ７脱颖而出５酆溃牛茫钒潦友窍党迪盗校一举从众多参选车型中脱颖而出，成为全球十大最受欢迎外观车型之一，可以说是丝毫不使人感到意外的。我们可以看到，帝豪ＥＣ７外观的优越性、高端性塑造，凸显出其强劲的全球竞争实力和同欧美系品牌分庭抗衡的信心。Ｍ时，帝豪ＥＣ７的此番登顶，也意味着国产汽车品牌将迎来一个全新的历程，并且对国产汽车进入快速崛起模式同样具有深刻的启示意义。正如评选参与者所言：＂帝豪ＥＣ７车型外观大气、稳重，是近年来国产车中外观设计最好的车型之一。找到了价格、安全、空间、动力、材质、做工的平衡点，是一款性价比很高的车型。＂９产车发力，帝豪系列众望所归Ｏ笳髯牛⒑阑、稳健、力量＂的帝豪ＥＭＧＲＡＮＤ系列可谓国产汽车中的精品，此系列中的各款车型皆具大家风范，圆润、饱满的构造，以及简洁、明快的线条，使整个车型外观尽显大气并活力四射。４拥酆溃牛茫返剑牛茫福诠释了吉利帝豪　向欧洲标准看齐的步伐正不断加快，而由国外著名设计公司组成的团队，也给帝豪的工艺水平提升带来了质的飞跃。之所以帝豪总能给人一种国际尖端品牌的驾乘感受，与这些因素是分不开的。Ｌ氐愕娜诤稀⑿阅艿谋Ｖぁ⒆鸸蟮奶逖椤⒑侠淼男约郏这些都是帝豪能在此次评选活动中笑傲群雄的基础，同时也证明了帝豪不断跻身国际中高端汽车行业的实力，吉利帝豪做为国产车成功的典范，不久的将来，将在世界汽车市场上享有自己的一席之地。＃保最受欢迎ＴＯＰ１０车型出炉　帝豪ＥＣ７脱颖而出
